,date_purchased,company,car_make,car_model,car_year,car_color,purchase_price,car_tier
978,2023-03-14,Schmitt-Herman,Jeep,Wrangler,2019,Aquamarine,52644,Sports
979,2022-12-08,"Nienow, Cronin and Abshire",Nissan,Murano,2010,Mauv,19178,Economy
980,2023-01-09,"Legros, Connelly and Jones",Lexus,LS,2022,Maroon,68224,Economy
981,2023-01-19,Watsica-Kuhn,Audi,S8,2013,Blue,62389,Off-Road
982,2022-11-28,"Abbott, Blick and Fisher",Mazda,MX-6,2013,Green,10079,Economy
983,2022-11-16,"Schneider, Kreiger and McDermott",Lincoln,Navigator,2013,Teal,68264,Off-Road
984,2023-03-08,"Connelly, Marvin and Lind",Saturn,L-Series,2014,Indigo,13660,Budget
985,2023-04-29,Emmerich Inc,Mercury,Cougar,2015,Violet,25870,Off-Road
986,2022-12-20,"Carroll, Kris and Stracke",Audi,S4,2021,Goldenrod,37288,Budget
987,2023-03-16,"Stiedemann, Beatty and Kassulke",Chevrolet,Tahoe,2018,Fuscia,84391,Luxury
988,2023-02-24,Haag-Borer,Lincoln,Navigator,2020,Green,78402,Luxury
989,2022-12-04,Skiles-Rippin,Acura,TL,2011,Maroon,56988,Economy
990,2022-12-16,Bechtelar Group,Buick,Roadmaster,2010,Red,43914,Off-Road
991,2023-01-22,"Grant, Klocko and Padberg",Mitsubishi,Tredia,2014,Turquoise,65885,Off-Road
992,2023-02-25,"Fadel, O'Reilly and Volkman",Mitsubishi,Montero,2016,Fuscia,61754,Luxury
993,2022-11-27,Turner and Sons,Dodge,Durango,2022,Yellow,89653,Luxury
994,2023-01-24,Tillman-Kirlin,Volkswagen,Golf III,2014,Yellow,31337,Sports
995,2023-02-21,Brekke-Kulas,Dodge,Neon,2020,Mauv,36856,Sports
996,2023-03-18,Doyle-Lynch,Land Rover,LR3,2011,Green,32875,Luxury
997,2022-12-02,Christiansen-Cartwright,Kia,Optima,2020,Red,60113,Sports
998,2023-03-19,"Oberbrunner, Turner and Deckow",Land Rover,Discovery Series II,2019,Khaki,75441,Sports
999,2022-12-22,"Effertz, Shields and VonRueden",GMC,Terrain,2012,Red,51049,Sports
1000,2020-11-08,Maggio LLC,Mitsubishi,Mighty Max Macro,2010,Turquoise,45035,Off-Road
1001,2022-10-31,"Hintz, Schmitt and Gulgowski",Dodge,Ram 2500,2010,Turquoise,23977,Sports
1002,2019-11-29,Herman-Wyman,Ford,Expedition,2023,Fuscia,22228,Budget
1003,2021-09-23,Raynor Group,Dodge,Ram Van B150,2018,Crimson,39161,Off-Road
1004,2019-03-15,"Waters, Connelly and Swaniawski",Audi,A6,2010,Yellow,66088,Budget
1005,2021-03-01,Flatley-Carroll,Volkswagen,Golf,2011,Green,33118,Economy
1006,2021-01-28,Skiles Group,Jeep,Compass,2010,Maroon,14906,Budget
1007,2023-02-02,Schuppe Group,GMC,Jimmy,2022,Yellow,53757,Luxury
1008,2020-04-16,Hegmann-Kuhic,Nissan,NX,2011,Maroon,89616,Economy
1009,2020-08-09,Marvin LLC,Jaguar,X-Type,2019,Turquoise,78985,Sports
1010,2018-08-28,Monahan and Sons,Bentley,Continental,2012,Fuscia,23141,Off-Road
1011,2020-09-21,Yundt-Medhurst,Oldsmobile,Regency,2022,Violet,54699,Luxury
1012,2020-07-15,Jaskolski-Murray,Honda,Ridgeline,2021,Maroon,81044,Economy
1013,2018-04-10,Ondricka-Hackett,Pontiac,Vibe,2011,Indigo,54415,Economy
1014,2018-10-16,Thiel Inc,Nissan,Sentra,2020,Crimson,25276,Budget
1015,2020-12-12,Volkman Group,BMW,Z8,2010,Pink,13450,Budget
1016,2019-11-28,Baumbach-Fisher,Volkswagen,New Beetle,2014,Violet,21927,Economy
1017,2018-05-11,"Strosin, Murazik and Berge",Chevrolet,Camaro,2010,Goldenrod,79864,Luxury
1018,2020-06-28,Glover Inc,Acura,Integra,2021,Puce,83720,Luxury
1019,2023-01-20,Ebert Inc,Dodge,Grand Caravan,2010,Fuscia,16749,Economy
1020,2021-11-07,Corwin-Balistreri,GMC,Yukon XL 1500,2020,Violet,62101,Luxury
1021,2020-04-30,"Gleason, Beatty and Brekke",Saab,9-3,2020,Maroon,40249,Sports
1022,2023-02-12,"Heathcote, Veum and Mosciski",Chevrolet,3500,2012,Green,15067,Budget
1023,2019-02-09,Rodriguez LLC,Nissan,Pathfinder Armada,2011,Puce,68879,Luxury
1024,2018-08-02,Langworth-Kuphal,Mercedes-Benz,SL-Class,2011,Indigo,60141,Sports
1025,2018-09-10,"O'Kon, Rau and Tremblay",Buick,Estate,2017,Yellow,79867,Luxury
1026,2020-11-09,Kutch Group,Mercedes-Benz,R-Class,2020,Green,36489,Off-Road
1027,2023-05-10,"Ebert, Torphy and Crona",Toyota,Avalon,2011,Yellow,92534,Economy
1028,2021-05-18,Reinger LLC,Chrysler,300M,2015,Crimson,26552,Off-Road
1029,2019-04-22,Franecki-Torp,Lincoln,Blackwood,2021,Purple,17394,Economy
1030,2018-08-11,"Goodwin, Graham and Weimann",Buick,Century,2015,Crimson,66325,Economy
1031,2019-06-08,"Smitham, Shanahan and Stark",Chevrolet,Lumina,2022,Pink,66410,Luxury
1032,2022-11-01,Toy and Sons,Nissan,Altima,2015,Green,40459,Sports
1033,2022-01-15,Von Group,Toyota,Tacoma,2018,Khaki,59981,Sports
1034,2021-02-02,Wehner Group,Toyota,Corolla,2017,Maroon,27560,Sports
1035,2020-08-17,Blick Group,Buick,Enclave,2014,Orange,18428,Off-Road
1036,2020-03-07,Nicolas-Auer,Mitsubishi,Mirage,2012,Green,74561,Luxury
1037,2022-05-06,"Zemlak, Fritsch and Orn",Volvo,XC90,2015,Yellow,22891,Luxury
1038,2022-12-11,Bashirian Group,Lotus,Esprit,2010,Fuscia,85070,Budget
1039,2018-05-02,Waters LLC,Chevrolet,Camaro,2014,Indigo,46768,Off-Road
1040,2023-02-14,"Mills, Langosh and Will",Maserati,Quattroporte,2021,Teal,31558,Economy
1041,2020-07-18,Cummerata-Hintz,Audi,A6,2020,Indigo,86064,Sports
1042,2019-01-22,Kling LLC,Ford,Mustang,2020,Goldenrod,66276,Budget
1043,2022-02-23,Feest Group,Chrysler,Voyager,2015,Crimson,44123,Off-Road
1044,2018-10-28,Wisozk-Hettinger,Chevrolet,Express 2500,2022,Yellow,46426,Off-Road
1045,2020-02-15,Langosh-Hammes,Saab,900,2013,Violet,92726,Sports
1046,2019-11-27,Runolfsdottir LLC,Jeep,Wrangler,2020,Blue,60801,Budget
1047,2022-08-13,"Harvey, Streich and McCullough",Mazda,Millenia,2018,Indigo,34389,Off-Road
1048,2021-07-16,Williamson and Sons,Audi,A6,2023,Violet,69963,Budget
1049,2019-05-06,Moore and Sons,Saab,900,2021,Mauv,76320,Budget
1050,2021-05-06,Leffler and Sons,Cadillac,Escalade EXT,2010,Orange,69020,Budget
1051,2022-12-30,Hammes Group,Acura,RL,2018,Red,66893,Sports
1052,2022-11-24,Lakin-Stiedemann,Subaru,Legacy,2010,Purple,80806,Sports
1053,2021-10-04,Marvin-Goldner,Saturn,Relay,2011,Yellow,51370,Luxury
1054,2018-08-12,Corwin-Fritsch,Mitsubishi,Chariot,2021,Puce,28810,Off-Road
1055,2021-04-26,Brakus-Yost,Land Rover,Range Rover,2015,Turquoise,45502,Off-Road
1056,2020-07-14,Purdy and Sons,Mazda,Millenia,2017,Violet,26511,Sports
1057,2022-04-10,"Wintheiser, Lind and Mitchell",Toyota,MR2,2020,Turquoise,86902,Budget
1058,2023-01-13,"Koss, Sauer and Kulas",Nissan,Rogue,2011,Blue,44711,Luxury
1059,2022-02-01,"Veum, Gusikowski and Dibbert",Lexus,LS,2013,Indigo,43284,Off-Road
1060,2018-12-30,Graham-Gorczany,Shelby,GT500,2019,Turquoise,14548,Off-Road
1061,2023-05-01,"Ward, Ondricka and Davis",Audi,TT,2022,Purple,17008,Economy
1062,2021-11-08,Ebert-Koepp,Audi,TT,2010,Pink,21040,Luxury
1063,2020-04-04,Balistreri Group,Isuzu,VehiCROSS,2018,Red,50848,Sports
1064,2021-02-10,Bernhard-Bradtke,Lincoln,Continental Mark VII,2021,Indigo,63254,Off-Road
1065,2019-08-25,Kub and Sons,Cadillac,Seville,2018,Green,95829,Budget
1066,2020-07-19,Schiller-Denesik,Subaru,SVX,2011,Pink,79036,Economy
1067,2022-05-22,"Koepp, Franecki and Heller",Cadillac,Escalade ESV,2012,Goldenrod,42129,Off-Road
1068,2020-07-20,Carter-Crooks,Volvo,S60,2019,Indigo,47472,Budget
1069,2023-03-28,Krajcik-Mayer,Oldsmobile,Alero,2010,Khaki,76810,Luxury
1070,2018-08-27,O'Keefe Group,Lexus,GX,2020,Yellow,34002,Off-Road
1071,2020-03-28,Adams Group,Mercury,Sable,2015,Violet,75910,Sports
1072,2019-05-19,Dibbert LLC,Lotus,Exige,2017,Green,65642,Sports
1073,2020-04-27,Wehner-Heathcote,BMW,3 Series,2022,Purple,82690,Economy
1074,2022-07-26,Crist-Mosciski,Toyota,T100 Xtra,2010,Maroon,62246,Economy
1075,2019-08-20,Orn and Sons,Toyota,Corolla,2014,Green,57020,Sports
1076,2023-03-13,Hintz LLC,Chevrolet,Tracker,2017,Orange,75220,Budget
1077,2020-02-12,"Lebsack, Ernser and Harvey",Pontiac,Vibe,2023,Blue,12458,Off-Road
1078,2021-10-25,Rohan Inc,Cadillac,Escalade,2010,Turquoise,89401,Luxury
1079,2021-05-25,Ziemann Group,Toyota,Tacoma Xtra,2020,Teal,10573,Economy
1080,2022-02-22,"Harris, Towne and Ondricka",Mercury,Villager,2011,Purple,62927,Sports
1081,2019-05-08,"Gibson, Wiza and Price",GMC,Savana 1500,2016,Crimson,72708,Budget
1082,2021-05-02,Lubowitz LLC,Mitsubishi,Outlander Sport,2011,Green,41322,Budget
1083,2021-03-09,"Lockman, Gorczany and Beahan",Audi,A8,2023,Blue,70775,Budget
1084,2020-10-08,Batz Group,Mitsubishi,Galant,2010,Fuscia,40059,Budget
1085,2018-08-01,"Carroll, Renner and Bosco",Suzuki,SX4,2010,Orange,91536,Luxury
1086,2020-05-21,"Lehner, Batz and Barton",Hyundai,Santa Fe,2011,Purple,29431,Economy
1087,2023-04-07,Hodkiewicz Inc,Mitsubishi,GTO,2018,Crimson,43813,Off-Road
1088,2020-02-04,Windler and Sons,Mazda,Mazda6,2014,Crimson,47040,Luxury
1089,2022-03-22,"Larkin, Ernser and Murphy",Chevrolet,Express 1500,2016,Crimson,25006,Economy
1090,2023-04-23,Bergnaum-Ebert,Audi,A6,2011,Goldenrod,58064,Economy
1091,2019-07-24,Johns Group,Ford,Mustang,2020,Goldenrod,97198,Luxury
1092,2018-09-24,Wehner and Sons,Chevrolet,Suburban 2500,2010,Turquoise,61926,Budget
1093,2022-06-22,"Ebert, Quigley and Collins",GMC,Sierra 2500,2010,Pink,71421,Sports
1094,2020-08-16,Boehm-Marks,Dodge,Sprinter,2010,Puce,23698,Off-Road
1095,2020-10-18,"Raynor, Heathcote and Barrows",Mitsubishi,Pajero,2017,Teal,13608,Budget
1096,2021-01-06,"Daugherty, Grant and Ortiz",Toyota,MR2,2013,Blue,71718,Budget
1097,2018-06-03,"Roberts, Glover and Koelpin",Mitsubishi,Mirage,2014,Turquoise,69441,Off-Road
1098,2018-04-24,Hagenes LLC,BMW,M Roadster,2018,Purple,22003,Economy
1099,2022-12-15,"Turcotte, Schaden and Kuhic",Ford,F150,2010,Mauv,99336,Budget
1100,2019-02-21,Jast Group,Mercury,Tracer,2011,Puce,83586,Off-Road
1101,2019-11-18,Ward-Goyette,GMC,Jimmy,2018,Violet,38077,Luxury
1102,2022-09-12,"Wolff, Heaney and Herman",Scion,xB,2020,Orange,89515,Economy
1103,2018-02-04,Medhurst and Sons,Chevrolet,Camaro,2011,Red,87924,Sports
1104,2021-05-15,Padberg LLC,Dodge,Durango,2013,Fuscia,83196,Economy
1105,2019-02-23,Cronin Inc,Volkswagen,Scirocco,2017,Pink,56210,Luxury
1106,2021-12-26,Heller Group,Audi,S6,2019,Orange,41633,Off-Road
1107,2021-08-20,Koch and Sons,Chrysler,PT Cruiser,2014,Puce,65892,Economy
1108,2022-08-07,Cummings Inc,Toyota,Corolla,2019,Puce,59497,Budget
1109,2022-12-21,"Feeney, Nader and Schaefer",Chevrolet,Express 1500,2011,Puce,55382,Economy
1110,2018-09-23,"Gusikowski, Strosin and Hills",Mazda,RX-7,2016,Pink,40458,Sports
1111,2020-11-17,Shanahan-Heller,Chevrolet,Lumina,2021,Goldenrod,42541,Budget
1112,2021-10-10,"Zieme, Hamill and Goyette",Mercedes-Benz,SLR McLaren,2011,Teal,91005,Off-Road
1113,2021-12-30,Deckow-Schowalter,Ford,LTD Crown Victoria,2020,Mauv,35698,Budget
1114,2022-05-16,Erdman-Ferry,GMC,Savana 3500,2014,Goldenrod,28123,Luxury
1115,2018-06-04,Lakin-Sawayn,Chevrolet,Silverado 2500,2010,Goldenrod,39247,Luxury
1116,2022-07-04,Murray-Kling,Cadillac,STS,2012,Khaki,10561,Sports
1117,2020-04-07,"Zulauf, Bailey and Schoen",Mazda,MX-6,2017,Red,15135,Sports
1118,2018-06-05,Boehm Group,Mazda,B-Series,2012,Purple,31348,Sports
1119,2020-02-21,"Schaefer, Kshlerin and Bergnaum",Chevrolet,Suburban 1500,2011,Violet,84392,Luxury
1120,2020-06-12,"Zulauf, Kohler and Klocko",Audi,Q5,2010,Maroon,23817,Off-Road
1121,2021-09-07,Schiller and Sons,Lincoln,Continental,2016,Turquoise,60807,Economy
1122,2021-11-01,"Lind, Mosciski and Walsh",Saturn,Ion,2012,Yellow,80379,Sports
1123,2021-11-12,Casper-Deckow,Mazda,RX-8,2011,Yellow,61834,Luxury
1124,2018-05-25,Yost Inc,Jaguar,XJ Series,2013,Aquamarine,90631,Off-Road
1125,2022-01-16,Stiedemann Inc,Dodge,Dakota Club,2020,Yellow,79066,Sports
1126,2022-07-18,Green Group,Hyundai,Accent,2014,Yellow,91777,Luxury
1127,2021-01-30,"Stanton, Sipes and Dicki",Mercury,Mountaineer,2017,Crimson,54243,Budget
1128,2019-10-24,"Conn, Wuckert and Toy",Chevrolet,Silverado 1500,2011,Maroon,53993,Sports
1129,2023-04-21,"Lynch, Gorczany and Stroman",Mercedes-Benz,G55 AMG,2018,Khaki,94839,Economy
1130,2019-12-30,Schinner-Dibbert,Mercedes-Benz,300CE,2017,Teal,17407,Budget
1131,2018-10-02,Larkin Inc,Ford,F350,2021,Turquoise,16097,Luxury
1132,2019-01-03,"Kuvalis, Williamson and Murazik",Chevrolet,Traverse,2012,Aquamarine,56857,Sports
1133,2019-04-08,"Brown, Christiansen and White",Buick,Skylark,2020,Mauv,21592,Budget
1134,2021-09-30,Ullrich-Ward,Chevrolet,1500,2012,Purple,12449,Off-Road
1135,2020-12-17,"Miller, Metz and Tremblay",Saturn,S-Series,2020,Blue,26324,Luxury
1136,2022-10-04,"Gorczany, Zemlak and Quigley",Mercedes-Benz,E-Class,2016,Mauv,47714,Off-Road
1137,2022-07-08,"Gutkowski, Mills and Altenwerth",Dodge,Journey,2010,Turquoise,78744,Off-Road
1138,2019-05-04,"Homenick, Kohler and Bergstrom",Volkswagen,GTI,2020,Crimson,46171,Budget
1139,2022-12-27,Wyman Inc,BMW,3 Series,2019,Purple,91096,Economy
1140,2021-12-10,Corwin-Wuckert,Hyundai,Elantra,2021,Green,80534,Sports
1141,2021-03-12,"Baumbach, Mayer and Balistreri",Dodge,Dakota Club,2015,Orange,78021,Luxury
1142,2021-04-17,"Nitzsche, Huels and Pacocha",Dodge,Ram 2500 Club,2015,Violet,69597,Luxury
1143,2022-09-15,Romaguera-Lowe,Cadillac,CTS-V,2011,Pink,98598,Economy
1144,2022-10-31,"Prosacco, Mosciski and Ebert",Chevrolet,Express 2500,2013,Blue,49596,Economy
1145,2021-01-23,"Reilly, Stanton and Zboncak",Chevrolet,Express 2500,2018,Puce,43602,Budget
1146,2022-07-14,Zboncak-Tillman,Kia,Sportage,2011,Pink,58759,Luxury
1147,2022-06-03,Schmitt LLC,Buick,Rendezvous,2016,Puce,12124,Sports
1148,2018-09-18,"Kassulke, Weissnat and Gerlach",Audi,S4,2021,Puce,42068,Sports
1149,2019-12-03,Auer and Sons,Toyota,4Runner,2023,Khaki,51019,Economy
1150,2021-06-11,"Schultz, Okuneva and Hilpert",Mitsubishi,Pajero,2019,Khaki,93117,Sports
1151,2018-07-05,Ullrich-Auer,Ford,Festiva,2016,Green,12300,Economy
1152,2019-04-22,Mertz LLC,Honda,CR-Z,2012,Purple,26855,Sports
1153,2021-11-02,Yost-Waters,Geo,Prizm,2021,Violet,52521,Off-Road
1154,2020-07-10,Schinner Inc,Ford,Excursion,2023,Red,73698,Economy
1155,2020-11-02,Bogan LLC,Scion,tC,2019,Pink,70260,Economy
1156,2020-07-08,"Roob, Langosh and O'Reilly",Porsche,968,2019,Puce,52362,Economy
1157,2018-03-08,"Shanahan, Botsford and Boyer",BMW,X6,2011,Maroon,82642,Economy
1158,2021-05-30,Nikolaus-Bartell,Isuzu,Rodeo,2023,Khaki,51398,Sports
1159,2022-10-09,"Greenholt, Fritsch and Heathcote",Buick,LeSabre,2018,Yellow,37133,Luxury
1160,2020-03-19,Larkin-Fritsch,Infiniti,Q,2018,Indigo,18378,Budget
1161,2021-09-25,Moore-Bartoletti,Ford,Ranger,2021,Fuscia,53892,Budget
1162,2018-09-04,Ebert-Becker,Mercury,Lynx,2010,Puce,15272,Sports
1163,2019-09-07,Beatty-Labadie,Saab,900,2019,Purple,75409,Economy
1164,2023-01-16,Boehm-Krajcik,Nissan,Maxima,2022,Purple,42164,Luxury
1165,2023-03-03,Deckow-Dietrich,Volkswagen,Cabriolet,2018,Pink,77889,Economy
1166,2019-09-21,"Bartell, Mitchell and Grimes",Toyota,Tercel,2012,Mauv,90494,Budget
1167,2023-03-07,Schulist Group,BMW,745,2018,Green,66407,Off-Road
1168,2022-05-12,"Parker, Walsh and Pfannerstill",Mitsubishi,Endeavor,2010,Maroon,26334,Off-Road
1169,2021-10-17,Ernser and Sons,Lexus,LS,2014,Mauv,33588,Economy
1170,2018-05-01,Senger-Murazik,Ford,E-Series,2011,Green,48128,Budget
1171,2019-07-23,"Mayer, Schultz and Mueller",Mitsubishi,Lancer Evolution,2021,Blue,85798,Budget
1172,2020-08-31,"Cruickshank, Champlin and Kuhlman",BMW,X6 M,2013,Pink,19564,Luxury
1173,2018-01-13,Koelpin-Ritchie,Toyota,Echo,2016,Violet,62340,Off-Road
1174,2019-04-21,Klein-Hilll,Lexus,LS,2017,Crimson,39683,Sports
1175,2020-05-13,"Labadie, Gulgowski and Mante",Ford,Ranger,2012,Green,71547,Economy
1176,2019-08-31,Herzog-Shanahan,Hyundai,Accent,2013,Blue,82010,Sports
1177,2021-03-07,Waters Inc,GMC,Savana,2011,Violet,34628,Economy
1178,2020-02-05,Hermiston LLC,Nissan,Altima,2017,Maroon,39692,Economy
1179,2018-07-13,Stanton Group,Ford,Probe,2011,Aquamarine,73279,Off-Road
1180,2020-03-04,"Schumm, Lehner and Treutel",Lamborghini,Murciélago,2021,Fuscia,21258,Economy
1181,2020-11-14,"West, Klein and Harber",Ford,Bronco,2013,Turquoise,28598,Off-Road
1182,2022-10-31,"Smith, Bergnaum and Wolff",Infiniti,Q,2010,Violet,30712,Budget
1183,2023-04-24,"Schoen, Blick and Wilderman",Isuzu,Rodeo,2011,Teal,39746,Economy
1184,2019-09-29,Watsica Inc,GMC,Sierra 1500,2010,Violet,43160,Economy
1185,2018-01-22,O'Reilly-Block,Lamborghini,Countach,2018,Green,47792,Off-Road
1186,2019-04-16,"Hettinger, Bernhard and Zieme",Toyota,Matrix,2014,Fuscia,44181,Luxury
1187,2022-12-15,Krajcik-Bogisich,Buick,Regal,2013,Green,95092,Sports
1188,2020-09-13,Goldner LLC,Cadillac,DTS,2011,Teal,53947,Off-Road
1189,2018-05-08,Hessel and Sons,Mercedes-Benz,300SE,2015,Khaki,31672,Off-Road
1190,2021-10-17,"Mante, Gottlieb and Streich",Lexus,RX,2017,Purple,13454,Budget
1191,2022-01-30,"Ruecker, Rolfson and Connelly",Mitsubishi,Tredia,2012,Indigo,48212,Sports
1192,2018-12-07,Effertz-Ward,Ford,Crown Victoria,2018,Indigo,20390,Economy
1193,2022-01-01,"Bahringer, Monahan and Heller",Subaru,Forester,2014,Mauv,50790,Off-Road
1194,2020-06-24,Mueller-Willms,Ford,Freestar,2014,Violet,18233,Sports
1195,2022-12-13,Langosh Inc,Porsche,911,2012,Crimson,68905,Budget
1196,2023-02-22,Wisozk and Sons,Chevrolet,Caprice,2019,Pink,47103,Luxury
1197,2021-12-13,Feil Group,Isuzu,Trooper,2020,Crimson,74012,Luxury
1198,2022-10-16,Blanda Group,Land Rover,Freelander,2010,Pink,40871,Economy
1199,2022-05-24,King Inc,Audi,riolet,2017,Blue,95167,Sports
1200,2018-02-13,Luettgen-Yost,Pontiac,Sunbird,2019,Goldenrod,49596,Budget
1201,2019-01-09,Bailey-Dach,Nissan,Maxima,2010,Puce,16565,Luxury
1202,2022-07-16,Funk-Collins,GMC,Safari,2015,Red,34642,Sports
1203,2020-06-14,Yost Group,Cadillac,Eldorado,2018,Yellow,71303,Sports
1204,2020-08-23,"McLaughlin, Hauck and Swaniawski",Aston Martin,DB9,2019,Goldenrod,74454,Luxury
1205,2021-04-09,Larkin-Corkery,Ford,Econoline E250,2013,Goldenrod,49584,Budget
1206,2020-04-24,Shanahan-Towne,Infiniti,G25,2012,Fuscia,36319,Off-Road
1207,2022-11-18,"Tremblay, Heller and Auer",Dodge,Charger,2015,Mauv,56175,Economy
1208,2019-12-25,"Kuphal, Christiansen and Harber",Dodge,Caravan,2012,Fuscia,71366,Sports
1209,2020-10-30,Cummings Inc,Cadillac,XLR-V,2010,Aquamarine,69209,Economy
1210,2019-11-21,Tromp Group,Mitsubishi,Truck,2016,Pink,69881,Sports
1211,2019-11-26,Hodkiewicz Inc,Infiniti,QX56,2016,Turquoise,40999,Luxury
1212,2019-11-19,Rolfson Inc,Chevrolet,Equinox,2016,Khaki,71406,Sports
1213,2022-10-19,"Johnston, Wolff and Heaney",Subaru,Justy,2013,Teal,91419,Budget
1214,2021-07-15,Bosco-Dare,Porsche,Cayenne,2016,Mauv,53525,Off-Road
1215,2021-02-23,Watsica-Pagac,Buick,Riviera,2014,Purple,85592,Budget
1216,2022-03-29,Wiegand and Sons,Jeep,Cherokee,2015,Red,95017,Off-Road
1217,2023-02-13,Hyatt Group,Oldsmobile,Ciera,2022,Fuscia,99608,Luxury
1218,2022-10-07,"Schultz, Strosin and Dickinson",Mazda,MX-6,2011,Pink,33849,Luxury
1219,2019-03-27,Fay Inc,Chevrolet,Caprice,2011,Crimson,18931,Off-Road
1220,2018-09-30,Bednar and Sons,Ford,E250,2019,Orange,50805,Budget
1221,2018-11-05,"Moore, Waters and Schamberger",Hyundai,Sonata,2017,Teal,33199,Sports
1222,2019-04-09,Witting LLC,Ford,F250,2011,Mauv,96473,Sports
1223,2021-01-16,Morar and Sons,Subaru,Loyale,2023,Fuscia,34613,Luxury
1224,2021-03-24,Toy Inc,Chrysler,300,2010,Aquamarine,47165,Off-Road
1225,2018-11-06,"Tremblay, Kemmer and MacGyver",Audi,S4,2016,Mauv,28247,Sports
1226,2020-11-26,Mann and Sons,Nissan,240SX,2019,Teal,48538,Luxury
1227,2018-02-14,Bosco Group,Saturn,S-Series,2013,Teal,40863,Sports
1228,2020-07-23,Renner-Osinski,Ford,Courier,2020,Teal,45091,Luxury
1229,2020-03-15,Yundt-Lowe,Bentley,Azure,2018,Maroon,83616,Budget
1230,2020-07-27,"O'Keefe, Grimes and Sanford",Nissan,Datsun/Nissan Z-car,2011,Puce,38792,Off-Road
1231,2021-05-22,"Deckow, Streich and Ward",Pontiac,Grand Prix,2020,Aquamarine,27064,Luxury
1232,2019-11-10,"Nicolas, Koepp and Lemke",GMC,Sierra 3500,2010,Fuscia,29811,Sports
1233,2019-09-07,Gutkowski-Marquardt,Lincoln,Navigator,2016,Fuscia,88864,Luxury
1234,2020-12-27,Leuschke LLC,Rolls-Royce,Phantom,2011,Indigo,58553,Luxury
1235,2018-08-12,Walsh LLC,Pontiac,Bonneville,2023,Teal,70723,Sports
1236,2023-01-19,"Harvey, Kassulke and Hudson",Maybach,62,2018,Pink,53692,Economy
1237,2020-11-11,Kertzmann Group,Mazda,MPV,2020,Purple,10170,Luxury
1238,2022-12-12,"Kunze, Schinner and Zemlak",Toyota,Solara,2014,Pink,96379,Off-Road
1239,2020-12-30,"Swaniawski, Koss and Hegmann",Lexus,RX,2020,Puce,14258,Sports
1240,2019-09-24,"Blanda, Runolfsdottir and Reilly",Infiniti,G,2017,Green,20039,Off-Road
1241,2020-03-12,"Sauer, Moore and Osinski",Subaru,Outback,2020,Fuscia,99680,Budget
1242,2020-01-11,"Bechtelar, Ferry and Balistreri",Toyota,T100 Xtra,2012,Red,86775,Sports
1243,2020-08-24,Kuhn LLC,Lexus,CT,2012,Crimson,67553,Luxury
1244,2021-06-07,Johnson-Volkman,Porsche,911,2018,Orange,13731,Off-Road
1245,2019-12-07,Kilback-Schiller,Pontiac,Grand Prix,2020,Puce,60309,Sports
1246,2021-03-29,"Blanda, Kirlin and Hegmann",GMC,Yukon,2019,Goldenrod,91056,Budget
1247,2018-09-05,"Nolan, Hoppe and Howell",Pontiac,GTO,2021,Crimson,21204,Off-Road
1248,2018-12-07,Adams-Shanahan,GMC,Sierra 2500,2013,Maroon,30171,Economy
1249,2023-02-08,Armstrong LLC,Volvo,960,2015,Crimson,45738,Economy
1250,2018-12-16,Rowe-Botsford,Chevrolet,Aveo,2011,Crimson,31475,Budget
1251,2018-10-04,Torp-Muller,Volkswagen,Quantum,2022,Turquoise,54841,Off-Road
1252,2019-12-14,West-Reilly,Dodge,Intrepid,2014,Violet,24587,Sports
1253,2018-08-07,"Graham, Nitzsche and Pollich",Chevrolet,Express 2500,2017,Khaki,74922,Sports
1254,2018-05-11,Ernser LLC,Ford,E-Series,2021,Indigo,67819,Sports
1255,2019-10-03,Zulauf Group,Cadillac,Catera,2018,Goldenrod,11102,Economy
1256,2022-12-03,"Raynor, Goldner and Schowalter",Toyota,Corolla,2015,Aquamarine,53370,Budget
1257,2018-04-20,"Greenholt, Lebsack and Heidenreich",Plymouth,Colt,2010,Blue,40006,Sports
1258,2020-11-23,Strosin Inc,Infiniti,G,2011,Indigo,11540,Budget
1259,2020-05-21,Ankunding Inc,Jeep,Wrangler,2010,Orange,53521,Off-Road
1260,2018-04-17,"Price, Emard and Braun",Toyota,Sequoia,2011,Pink,25964,Sports
1261,2021-04-26,"Murray, Hoeger and Funk",Nissan,Pathfinder,2010,Yellow,80672,Off-Road
1262,2023-03-31,"Nikolaus, Ferry and Crooks",Cadillac,STS,2015,Purple,96434,Sports
1263,2019-08-23,O'Kon and Sons,Ford,Bronco,2019,Indigo,60132,Off-Road
1264,2022-11-18,Jaskolski-Murphy,Mercury,Villager,2010,Aquamarine,95646,Luxury
1265,2018-07-31,"Kassulke, Rodriguez and Lind",Audi,A8,2013,Violet,75670,Budget
1266,2020-02-28,"Towne, Kuvalis and Auer",Ford,Fusion,2012,Khaki,32516,Off-Road
1267,2018-09-19,Kemmer LLC,Ford,Mustang,2019,Fuscia,54434,Luxury
1268,2019-05-15,"Senger, Nader and Hayes",Isuzu,Rodeo,2013,Turquoise,91290,Off-Road
1269,2020-03-19,Crooks Group,Chevrolet,Suburban 2500,2015,Fuscia,41995,Sports
1270,2019-04-01,Larkin and Sons,Ford,F-Series,2018,Orange,99645,Economy
1271,2018-12-21,Labadie Group,Buick,Century,2012,Maroon,61919,Sports
